id,match_id,season_id,member_id,minute,is_own_goal,credited_team_id
357d4d96-118c-4f9b-a2d5-1912431c2954,94,eb19f900-c99f-486f-8930-6b56a74293d6,76,0,f,
64fb0390-6800-4c7b-bd68-fe34f74b6e67,94,eb19f900-c99f-486f-8930-6b56a74293d6,82,0,f,
bab9bd1c-f0d2-4ec0-960b-98e8e0c2cc1a,94,eb19f900-c99f-486f-8930-6b56a74293d6,103,0,f,
0b2010a1-9cbf-4e8c-b703-131b7d27c891,94,eb19f900-c99f-486f-8930-6b56a74293d6,104,0,f,
b463aa3e-0be3-4624-af51-7b6c8fcb5c14,94,eb19f900-c99f-486f-8930-6b56a74293d6,104,0,f,
7b596103-7b70-4bc0-83cc-c3f2172e4d1b,95,eb19f900-c99f-486f-8930-6b56a74293d6,43,0,f,
13aeea5b-be34-42d5-8c07-1d1f96be700b,95,eb19f900-c99f-486f-8930-6b56a74293d6,45,0,f,
93a5095a-d313-430a-8826-7d8fc929a21a,95,eb19f900-c99f-486f-8930-6b56a74293d6,45,0,f,
9ce35da9-a27b-4f85-8766-02f4fb5a262b,95,eb19f900-c99f-486f-8930-6b56a74293d6,46,0,f,
6718953a-d9de-41db-b71e-507e43e2df7c,95,eb19f900-c99f-486f-8930-6b56a74293d6,48,0,f,
dbd1ded7-01e8-48d6-b363-24dab397119c,95,eb19f900-c99f-486f-8930-6b56a74293d6,84,0,f,
3cedf62e-4ab7-4bf4-a9b8-4dea6d7ab900,95,eb19f900-c99f-486f-8930-6b56a74293d6,84,0,f,
9ee876a9-48b2-4a57-b113-8a6926c95ba4,96,eb19f900-c99f-486f-8930-6b56a74293d6,19,0,f,
bd543c24-22bc-4e8a-a0fa-fc9287ba581a,96,eb19f900-c99f-486f-8930-6b56a74293d6,29,0,f,
