id,user_id,season_id,team_name,description,status,created_at
fe64655d-d115-443c-b39c-ebf4941b2dbc,1fc4e8d6-5a9e-4c9f-a593-7397388491b8,eb19f900-c99f-486f-8930-6b56a74293d6,kjhgfd,lkjhgfd,approved,2026-06-26 14:53:37.46
43351064-dcc6-4723-9a24-056f35200605,c70d4e9a-c225-456a-88d9-cd3ff49fe475,eb19f900-c99f-486f-8930-6b56a74293d6,מקסיקו,"",approved,2026-06-27 16:13:54.232
96bbcb90-a463-473f-be60-5eb62bb5e95d,6fd358f1-2fa5-44c6-8d00-627c67e7499d,eb19f900-c99f-486f-8930-6b56a74293d6,נורווגיה,"",approved,2026-06-28 18:08:38.843
